latitude,longitude,altitude,geometry,gestore,comune_ok,indirizzo,id
40.822694444,16.421722222,,Point,Telecom Italia S.p.A.,Gravina in Puglia,Gravina in Puglia ---- Via Vittorio Alfieri c/o C.le Telecom n.d.,1
40.822694444,16.421722222,,Point,Linkem,Gravina in Puglia,Gravina in Puglia ---- Via Vittorio Alfieri c/o C.le Telecom n.d.,2
40.822694444,16.421722222,,Point,Vodafone Italia S.p.A.,Gravina in Puglia,Gravina in Puglia ---- Via Vittorio Alfieri c/o C.le Telecom n.d.,3
40.826888888,16.536277777,,Point,Vodafone Italia S.p.A.,Altamura,Altamura ---- Via del Noce 10,4
40.826888888,16.536277777,,Point,Wind Tre s.p.a.,Altamura,Altamura ---- Via del Noce 10,5
41.125027777,16.860361111,,Point,Iliad Italia s.p.a,Bari,Bari ---- Via Crispi 6,6
41.125027777,16.860361111,,Point,Wind Tre s.p.a.,Bari,Bari ---- Via Crispi 6,7
41.126263888,16.860852777,,Point,Wind Tre s.p.a.,Bari,Bari ---- Piazza Garibaldi 6,8
40.826638888,16.411416666,,Point,Wind Tre s.p.a.,Gravina in Puglia,Gravina in Puglia ---- Strada Comunale Zona Fiera n.d.,9
40.826638888,16.411416666,,Point,Iliad Italia s.p.a,Gravina in Puglia,Gravina in Puglia ---- Strada Comunale Zona Fiera n.d.,10
40.919638888,16.258277777,,Point,Telecom Italia S.p.A.,Poggiorsini,Poggiorsini ---- Strada Provinciale 10 c/o Colonna Martia Pacis n.d.,11
41.18175,16.662138888,,Point,Telecom Italia S.p.A.,Giovinazzo,Giovinazzo ---- Contrada S. Antonio n.d.,12
41.18175,16.662138888,,Point,Vodafone Italia S.p.A.,Giovinazzo,Giovinazzo ---- Contrada S. Antonio n.d.,13
40.796944444,16.703416666,,Point,Telecom Italia S.p.A.,Santeramo in Colle,Santeramo in Colle ---- Contrada La Guardiola n.d.,14
40.796944444,16.703416666,,Point,Telenorba s.p.a.,Santeramo in Colle,Santeramo in Colle ---- Contrada La Guardiola n.d.,15
40.796944444,16.703416666,,Point,SETTE GOLD SRL UNIPERSONALE,Santeramo in Colle,Santeramo in Colle ---- Contrada La Guardiola n.d.,16
40.796944444,16.703416666,,Point,DELTA TV SRL,Santeramo in Colle,Santeramo in Colle ---- Contrada La Guardiola n.d.,17
41.050075,16.721055555,,Point,Telecom Italia S.p.A.,Palo del Colle,Palo del Colle ---- Strada Comunale Vecchia per Bitetto n.d.,18
41.050075,16.721055555,,Point,Vodafone Italia S.p.A.,Palo del Colle,Palo del Colle ---- Strada Comunale Vecchia per Bitetto n.d.,19
41.050075,16.721055555,,Point,Iliad Italia s.p.a,Palo del Colle,Palo del Colle ---- Strada Comunale Vecchia per Bitetto n.d.,20
41.037283333,16.744997222,,Point,Vodafone Italia S.p.A.,Bitetto,Bitetto ---- Via C. Goldoni 13 c/o Centrale Telecom,21
41.037283333,16.744997222,,Point,Telecom Italia S.p.A.,Bitetto,Bitetto ---- Via C. Goldoni 13 c/o Centrale Telecom,22
41.037283333,16.744997222,,Point,Wind Tre s.p.a.,Bitetto,Bitetto ---- Via C. Goldoni 13 c/o Centrale Telecom,23
41.133405555,16.823722222,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via S. Girolamo II trav. n.d.,24
41.136125,16.8401,,Point,Linkem,Bari,Bari ---- Via Lepanto c/o Fiera del Levante n.d.,25
41.046919444,16.843747222,,Point,Wind Tre s.p.a.,Bari,Bari ---- Strada Comunale Cisterna di Terrarossa snc. (WINDTRE),26
41.127236111,16.854555555,,Point,Vodafone Italia S.p.A.,Bari,Bari ---- Via Napoli 231,27
41.127236111,16.854555555,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via Napoli 231,28
41.101777777,16.855416666,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via C. Rosalba c/o Centrale Telecom n.d.,29
41.125475,16.859827777,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via Trevisani c/o Autosilo snc,30
41.103611111,16.862694444,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via S. Lioce n.d. c/o Autosilo,31
41.078083333,16.86675,,Point,Wind Tre s.p.a.,Bari,Bari ---- Località Carbonara - Via Loquercio (della Quercia) 38,32
41.078083333,16.86675,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Località Carbonara - Via Loquercio (della Quercia) 38,33
41.078083333,16.86675,,Point,Wind Tre s.p.a.,Bari,Bari ---- Località Carbonara - Via Loquercio (della Quercia) 38,34
41.063027777,16.868841666,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Corso Ceglie del Campo - C.so Umberto I 145,35
41.113752777,16.881861111,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via Amendola 114 c/o Autosilo SuperAmendola,36
41.113752777,16.881861111,,Point,Wind Tre s.p.a.,Bari,Bari ---- Via Amendola 114 c/o Autosilo SuperAmendola,37
41.113752777,16.881861111,,Point,Iliad Italia s.p.a,Bari,Bari ---- Via Amendola 114 c/o Autosilo SuperAmendola,38
41.094083333,16.885083333,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via Conte Giusso 13/E,39
41.094083333,16.885083333,,Point,Iliad Italia s.p.a,Bari,Bari ---- Via Conte Giusso 13/E,40
41.094083333,16.885083333,,Point,Vodafone Italia S.p.A.,Bari,Bari ---- Via Conte Giusso 13/E,41
41.114361111,16.886277777,,Point,Telecom Italia S.p.A.,Bari,"Bari ---- Via Caldarola 18, c/o Centrale Telecom",42
41.114361111,16.886277777,,Point,Vodafone Italia S.p.A.,Bari,"Bari ---- Via Caldarola 18, c/o Centrale Telecom",43
41.164694444,16.744666666,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Località Santo Spirito - Via Dalmazia n.d. c/o Centrale Telecom,44
41.164694444,16.744666666,,Point,Vodafone Italia S.p.A.,Bari,Bari ---- Località Santo Spirito - Via Dalmazia n.d. c/o Centrale Telecom,45
41.164694444,16.744666666,,Point,Linkem S.p.A.,Bari,Bari ---- Località Santo Spirito - Via Dalmazia n.d. c/o Centrale Telecom,46
41.164694444,16.744666666,,Point,Wind Tre s.p.a.,Bari,Bari ---- Località Santo Spirito - Via Dalmazia n.d. c/o Centrale Telecom,47
41.114638888,16.892333333,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via Nannei 36,48
41.09175,16.897083333,,Point,Telecom Italia S.p.A.,Bari,Bari ---- Via Torre di Mizzo snc c/o Centrale Telecom,49
41.09175,16.897083333,,Point,Vodafone Italia S.p.A.,Bari,Bari ---- Via Torre di Mizzo snc c/o Centrale Telecom,50
41.102027777,16.91275,,Point,Iliad Italia s.p.a,Bari,Bari ---- Via Toscanini 26 (Iliad),51
41.02375,16.922694444,,Point,Telecom Italia S.p.A.,Cellamare,Cellamare ---- Contrada Fornarulo n.d.,52
41.02375,16.922694444,,Point,Linkem,Cellamare,Cellamare ---- Contrada Fornarulo n.d.,53
41.02375,16.922694444,,Point,Vodafone Italia S.p.A.,Cellamare,Cellamare ---- Contrada Fornarulo n.d.,54
